id,latitude,longitude,lap,navigation,vehicle_id,sample,datetime
13915841,-13.5247303,-71.9551993,2,108,SJ20,1060,2023-03-05 09:53:54
13915876,-13.5250682,-71.9542066,2,108,SJ20,1060,2023-03-05 09:54:06
13915961,-13.525298,-71.9534878,2,107,SJ20,1060,2023-03-05 09:55:06
13915986,-13.5255668,-71.952595,2,106,SJ20,1060,2023-03-05 09:55:18
13916064,-13.5258013,-71.9517775,2,106,SJ20,1060,2023-03-05 09:56:04
13916089,-13.5260857,-71.9508509,2,107,SJ20,1060,2023-03-05 09:56:16
13916116,-13.5264734,-71.949606,2,107,SJ20,1060,2023-03-05 09:56:28
13916142,-13.5268254,-71.9485432,2,102,SJ20,1060,2023-03-05 09:56:48
13916165,-13.5270843,-71.9475688,2,105,SJ20,1060,2023-03-05 09:57:01
13916189,-13.5273394,-71.9465209,2,102,SJ20,1060,2023-03-05 09:57:13
13916225,-13.5274746,-71.9457455,2,93,SJ20,1060,2023-03-05 09:57:37
13916275,-13.5276865,-71.9437517,2,96,SJ20,1060,2023-03-05 09:58:01
13916297,-13.5277686,-71.942922,2,92,SJ20,1060,2023-03-05 09:58:22
13916320,-13.527887,-71.9418974,2,99,SJ20,1060,2023-03-05 09:58:34
13916344,-13.5280213,-71.9408841,2,96,SJ20,1060,2023-03-05 09:58:46
13916382,-13.5281935,-71.9400679,2,102,SJ20,1060,2023-03-05 09:59:09
13916414,-13.5284314,-71.9391906,2,104,SJ20,1060,2023-03-05 09:59:23
13916440,-13.5287424,-71.9381185,2,105,SJ20,1060,2023-03-05 09:59:35
13916465,-13.5290594,-71.936977,2,105,SJ20,1060,2023-03-05 09:59:47
13916492,-13.529288,-71.9362351,2,105,SJ20,1060,2023-03-05 10:00:10
13916527,-13.5295002,-71.9354613,2,106,SJ20,1060,2023-03-05 10:00:32
13916570,-13.5297084,-71.9346706,2,101,SJ20,1060,2023-03-05 10:00:54
13916588,-13.5299527,-71.9337609,2,105,SJ20,1060,2023-03-05 10:01:07
13916633,-13.5302066,-71.9329112,2,106,SJ20,1060,2023-03-05 10:01:29
